Product ID,Product Name,Category,Sub-Category
FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Office Supplies,Storage
FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings
OFF-AR-10002833,Newell 322,Office Supplies,Art
TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Technology,Phones
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables
TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Technology,Phones
OFF-PA-10002365,Xerox 1967,Office Supplies,Paper
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage
OFF-ST-10000107,Fellowes Super Stor/Drawer,Office Supplies,Storage
OFF-AR-10003056,Newell 341,Office Supplies,Art
TEC-PH-10001949,Cisco SPA 501G IP Phone,Technology,Phones
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders
OFF-AR-10000246,Newell 318,Office Supplies,Art
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs
OFF-BI-10001634,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories
TEC-AC-10003027,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases
FUR-BO-10004834,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders
OFF-BI-10000474,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings
FUR-FU-10004848,Poly String Tie Envelopes,Office Supplies,Envelopes
OFF-EN-10001509,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Art
OFF-AR-10004042,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders
OFF-BI-10001525,Lumber Crayons,Office Supplies,Art
OFF-AR-10001683,Easy-staple paper,Office Supplies,Paper
OFF-PA-10000249,GE 30524EE4,Technology,Phones
TEC-PH-10004977,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings
FUR-FU-10003664,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes
OFF-EN-10002986,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases
FUR-BO-10002545,"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs
FUR-CH-10004218,Plantronics HL10 Handset Lifter,Technology,Phones
TEC-PH-10000486,Panasonic Kx-TS550,Technology,Phones
TEC-PH-10004093,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage
OFF-ST-10003479,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Storage
OFF-ST-10003282,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories
TEC-AC-10000171,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders
OFF-BI-10003291,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Storage
OFF-ST-10001713,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,Accessories
TEC-AC-10002167,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Phones
TEC-PH-10003988,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,Binders
OFF-BI-10004410,Avery 485,Office Supplies,Labels
OFF-LA-10002762,Longer-Life Soft White Bulbs,Furniture,Furnishings
FUR-FU-10001706,"Global Leather Task Chair, Black",Furniture,Chairs
FUR-CH-10003061,Advantus Push Pins,Office Supplies,Fasteners
OFF-FA-10000304,AT&T CL83451 4-Handset Telephone,Technology,Phones
TEC-PH-10002447,Home/Office Personal File Carts,Office Supplies,Storage
OFF-ST-10000604,Xerox 232,Office Supplies,Paper
OFF-PA-10001569,Novimex Turbo Task Chair,Furniture,Chairs
FUR-CH-10003968,"Array Parchment Paper, Assorted Colors",Office Supplies,Paper
OFF-PA-10000587,Plastic Binding Combs,Office Supplies,Binders
OFF-BI-10001460,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,Accessories
OFF-AR-10001868,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,Binders
TEC-AC-10004633,Xerox 1943,Office Supplies,Paper
OFF-BI-10001078,Luxo Economy Swing Arm Lamp,Furniture,Furnishings
OFF-PA-10003892,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs
FUR-FU-10000397,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,Art
FUR-CH-10001146,netTALK DUO VoIP Telephone Service,Technology,Phones
OFF-AR-10002671,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,Paper
TEC-PH-10002726,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,Binders
OFF-PA-10000482,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,Paper
OFF-BI-10004654,High-Back Leather Manager's Chair,Furniture,Chairs
OFF-PA-10004675,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Furnishings
FUR-CH-10000513,Safco Industrial Wire Shelving System,Office Supplies,Storage
FUR-FU-10003708,Economy Binders,Office Supplies,Binders
OFF-ST-10004123,"6"" Cubicle Wall Clock, Black",Furniture,Furnishings
OFF-BI-10004182,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,Storage
FUR-FU-10000260,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings
OFF-ST-10000615,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances
FUR-FU-10003194,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Binders
OFF-AP-10002118,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,Art
OFF-BI-10002309,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,Storage
OFF-AR-10002053,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Envelopes
OFF-ST-10002370,Safco Industrial Wire Shelving,Office Supplies,Storage
OFF-EN-10000927,Novimex Swivel Fabric Task Chair,Furniture,Chairs
OFF-ST-10003656,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,Accessories
FUR-CH-10000863,Avery 511,Office Supplies,Labels
TEC-AC-10001998,Eldon Portable Mobile Manager,Office Supplies,Storage
OFF-LA-10000134,Turquoise Lead Holder with Pocket Clip,Office Supplies,Art
OFF-ST-10003442,Xerox 1995,Office Supplies,Paper
OFF-AR-10004930,Xerox 1999,Office Supplies,Paper
OFF-PA-10000304,Ibico Standard Transparent Covers,Office Supplies,Binders
OFF-PA-10003177,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,Binders
FUR-FU-10003799,9-3/4 Diameter Round Wall Clock,Furniture,Furnishings
OFF-BI-10002852,Trimflex Flexible Post Binders,Office Supplies,Binders
OFF-BI-10004738,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Appliances
FUR-FU-10000629,Avery Personal Creations Heavyweight Cards,Office Supplies,Paper
OFF-BI-10001721,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,Accessories
OFF-AP-10000358,Avery Hidden Tab Dividers for Binding Systems,Office Supplies,Binders
OFF-PA-10003256,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies,Paper
TEC-AC-10001767,Logitech K350 2.4Ghz Wireless Keyboard,Technology,Accessories
OFF-BI-10002609,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furniture,Furnishings
OFF-PA-10004040,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,Binders
TEC-AC-10001552,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Technology,Accessories
FUR-FU-10004006,Speck Products Candyshell Flip Case,Technology,Phones
OFF-BI-10002794,Newell Chalk Holder,Office Supplies,Art
TEC-AC-10003499,Logitech Gaming G510s - Keyboard,Technology,Accessories
TEC-PH-10002844,Magnifier Swing Arm Lamp,Furniture,Furnishings
OFF-AR-10000390,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art
TEC-AC-10000844,"Avery Durable Plastic 1"" Binders",Office Supplies,Binders
FUR-FU-10001934,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Fasteners
OFF-AR-10000380,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Office Supplies,Envelopes
OFF-BI-10003981,Xerox 1921,Office Supplies,Paper
