Order_Month,Total_Orders
2014-01,32
2014-02,28
2014-03,71
2014-04,66
2014-05,69
2014-06,66
2014-07,65
2014-08,72
2014-09,130
2014-10,78
2014-11,151
2014-12,141
2015-01,29
2015-02,36
2015-03,79
2015-04,72
2015-05,74
2015-06,68
2015-07,66
2015-08,68
2015-09,140
2015-10,87
2015-11,158
2015-12,161
2016-01,48
2016-02,45
2016-03,86
2016-04,89
2016-05,108
2016-06,97
2016-07,96
2016-08,90
2016-09,192
2016-10,105
2016-11,183
2016-12,176
2017-01,69
2017-02,53
2017-03,118
2017-04,116
2017-05,118
2017-06,133
2017-07,111
2017-08,111
2017-09,226
2017-10,147
2017-11,261
2017-12,224
