Product_ID,Product_Name,Total_Sales,Profit
FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",825.17,-117.882
FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",1064.62,24.196
FUR-BO-10000362,"Sauder Inglewood Library Bookcases",2154.35,311.1836
FUR-BO-10000468,"O'Sullivan 2-Shelf Heavy-Duty Bookcases",723.84,-133.1092
FUR-BO-10000711,"Hon Metal Bookcases, Gray",851.76,229.9752
FUR-BO-10000780,"O'Sullivan Plantations 2-Door Library in Landvery Oak",2946.37,-767.7436
FUR-BO-10001337,"O'Sullivan Living Dimensions 2-Shelf Bookcases",2970.06,-78.637
FUR-BO-10001519,"O'Sullivan 3-Shelf Heavy-Duty Bookcases",1119.2,147.0942
FUR-BO-10001567,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",90.88,-190.8522
FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",935.2,-125.74080000000001
FUR-BO-10001608,"Hon Metal Bookcases, Black",1570.08,-26.972399999999993
FUR-BO-10001619,"O'Sullivan Cherrywood Estates Traditional Bookcase",424.9,27.193599999999996
FUR-BO-10001798,"Bush Somerset Collection Bookcase",1263.96,-56.3214
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",5492.88,15.049000000000007
FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",1014.17,-418.548
FUR-BO-10001972,"O'Sullivan 4-Shelf Bookcase in Odessa Pine",2740.2,-975.0988
FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",400.03,-113.2606
FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",119.83,-12.6882
FUR-BO-10002213,"DMI Eclipse Executive Suite Bookcases",12921.64,19.686399999999992
FUR-BO-10002268,"Sauder Barrister Bookcases",754.73,-294.7672
FUR-BO-10002545,"Global Fabric Manager's Chair, Dark Gray",7539.71,780.3302000000001
FUR-BO-10002598,"Hon Metal Bookcases, Putty",1320.23,362.7078000000001
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",5184.08,-126.44100000000005
FUR-BO-10002824,"Bush Mission Pointe Library",748.86,24.156800000000004
FUR-BO-10002853,"O'Sullivan 5-Shelf Heavy-Duty Bookcases",540.8,-12.290999999999997
