Order ID,Order Date,Ship Date,Ship Mode,Postal Code,City,State,Country,Region,Customer ID
CA-2016-152156,2016-11-08,2016-11-11,Second Class,42420,Henderson,Kentucky,United States,South,CG-12520
CA-2016-138688,2016-06-12,2016-06-16,Second Class,90036,Los Angeles,California,United States,West,DV-13045
US-2015-108966,2015-10-11,2015-10-18,Standard Class,33311,Fort Lauderdale,Florida,United States,South,SO-20335
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,90032,Los Angeles,California,United States,West,BH-11710
CA-2017-114412,2017-04-15,2017-04-20,Standard Class,28027,Concord,North Carolina,United States,South,AA-10480
CA-2016-161389,2016-12-05,2016-12-10,Standard Class,98103,Seattle,Washington,United States,West,IM-15070
US-2015-118983,2015-11-22,2015-11-26,Standard Class,76106,Fort Worth,Texas,United States,Central,HP-14815
CA-2014-105893,2014-11-11,2014-11-18,Standard Class,53711,Madison,Wisconsin,United States,Central,PK-19075
CA-2014-167164,2014-05-13,2014-05-15,Second Class,84084,West Jordan,Utah,United States,West,AG-10270
CA-2014-143336,2014-08-27,2014-09-01,Second Class,94109,San Francisco,California,United States,West,ZD-21925
CA-2016-137330,2016-12-09,2016-12-13,Standard Class,68025,Fremont,Nebraska,United States,Central,KB-16585
US-2017-156909,2017-07-16,2017-07-18,Second Class,19140,Philadelphia,Pennsylvania,United States,East,SF-20065
CA-2015-106320,2015-09-25,2015-09-30,Standard Class,84057,Orem,Utah,United States,West,EB-13870
CA-2016-121755,2016-01-16,2016-01-20,Second Class,90049,Los Angeles,California,United States,West,EH-13945
US-2015-150630,2015-09-17,2015-09-21,Standard Class,19140,Philadelphia,Pennsylvania,United States,East,TB-21520
CA-2017-107727,2017-10-19,2017-10-23,Second Class,77095,Houston,Texas,United States,Central,MA-17560
CA-2016-117590,2016-12-08,2016-12-10,First Class,75080,Richardson,Texas,United States,Central,GH-14485
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,77041,Houston,Texas,United States,Central,SN-20710
CA-2017-120999,2017-09-10,2017-09-15,Standard Class,60540,Naperville,Illinois,United States,Central,LC-16930
CA-2016-101343,2016-07-17,2016-07-22,Standard Class,90049,Los Angeles,California,United States,West,RA-19885
CA-2017-139619,2017-09-19,2017-09-23,Standard Class,32935,Melbourne,Florida,United States,South,ES-14080
CA-2016-118255,2016-03-11,2016-03-13,First Class,55122,Eagan,Minnesota,United States,Central,ON-18715
CA-2014-146703,2014-10-20,2014-10-25,Second Class,48185,Westland,Michigan,United States,Central,PO-18865
CA-2016-169194,2016-06-20,2016-06-25,Standard Class,19901,Dover,Delaware,United States,East,LH-16900
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,47150,New Albany,Indiana,United States,Central,DP-13000
CA-2016-105816,2016-12-11,2016-12-17,Standard Class,10024,New York City,New York,United States,East,JM-15265
CA-2016-111682,2016-06-17,2016-06-18,First Class,12180,Troy,New York,United States,East,TB-21055
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,90004,Los Angeles,California,United States,West,KM-16720
US-2015-164175,2015-04-30,2015-05-05,Standard Class,60610,Chicago,Illinois,United States,Central,PS-18970
CA-2014-106376,2014-12-05,2014-12-10,Standard Class,85234,Gilbert,Arizona,United States,West,BS-11590
CA-2016-119823,2016-06-04,2016-06-06,First Class,22153,Springfield,Virginia,United States,South,KD-16270
CA-2016-106075,2016-09-18,2016-09-23,Standard Class,10009,New York City,New York,United States,East,HM-14980
CA-2017-114440,2017-09-14,2017-09-17,Second Class,49201,Jackson,Michigan,United States,Central,TB-21520
US-2015-134026,2015-04-26,2015-05-02,Standard Class,38109,Memphis,Tennessee,United States,South,JE-15745
US-2017-118038,2017-12-09,2017-12-11,First Class,77041,Houston,Texas,United States,Central,KB-16600
US-2014-147606,2014-11-26,2014-12-01,Second Class,77070,Houston,Texas,United States,Central,JE-15745
CA-2016-127208,2016-06-12,2016-06-15,First Class,35601,Decatur,Alabama,United States,South,SC-20770
CA-2014-139451,2014-10-12,2014-10-16,Standard Class,94122,San Francisco,California,United States,West,DN-13690
CA-2015-149734,2015-09-03,2015-09-08,Standard Class,27707,Durham,North Carolina,United States,South,JC-16105
US-2017-119662,2017-11-13,2017-11-16,First Class,60623,Chicago,Illinois,United States,Central,CS-12400
CA-2017-140088,2017-05-28,2017-05-30,Second Class,29203,Columbia,South Carolina,United States,South,PO-18865
